outcome,outcome_label,pathway,primary_percent,primary_p,primary_sign,primary_p_lt_0_05,wls_percent,wls_p,wls_sign,wls_p_lt_0_05,within_percent,within_p,within_sign,within_p_lt_0_05,q90_percent,q90_p,q90_sign,q90_p_lt_0_05,ml_relative_delta_rmse_percent,credibility_score_0_6,suggested_use
u5,Under-5,household_disadvantage,41.28116746264938,0.010661275414855929,1,True,28.811745371477148,0.43997713262061133,1,False,30.168121640739077,7.888487787891395e-10,1,True,17.756636756950115,0.36202097969361374,1,False,33.016976335610494,4,main_or_extended_result
u5,Under-5,ambient_pollution,6.02081427810599,0.09786537981371456,1,False,15.850072030499796,0.008440596863283337,1,True,-8.521605982028612,0.01901158742533686,-1,True,2.0166439737269615,0.6881957932061101,1,False,11.21482753425372,2,supplement_or_cautious_text
u5,Under-5,thermal_context,20.874803509294203,1.8085839925343716e-06,1,True,2.5812958406972175,0.6668317585732026,1,False,-7.0535765125326,0.2526493838083391,-1,False,19.870754943178405,0.0004390942748528936,1,True,47.68287177485535,4,main_or_extended_result
u5,Under-5,wetness_context,-7.51485652209799,0.03492359042716121,-1,True,4.000609030874114,0.3748964530794099,1,False,-3.4261720869403933,0.30748223265223884,-1,False,-12.564199167048029,0.0015228061692089733,-1,True,4.261148288975242,4,main_or_extended_result
all_age,All ages,household_disadvantage,-2.859905102310234,0.761102176669669,-1,False,1.3971219103710686,0.961132753609447,1,False,11.708877430384579,0.013928179794412309,1,True,-4.436391791945238,0.75064840441239,-1,False,16.638742674571873,1,do_not_emphasize
all_age,All ages,ambient_pollution,-4.269543787997354,0.10222481925200477,-1,False,0.46478782223946524,0.9427168818138992,1,False,-11.404394063103885,0.0024525212907755803,-1,True,-5.474891513829949,0.14264886148979944,-1,False,3.296641184624986,2,supplement_or_cautious_text
all_age,All ages,thermal_context,18.68700061300961,3.4442968803107846e-10,1,True,18.85916334368578,0.0004992107791217945,1,True,0.6473584188546155,0.9179032925066299,1,False,14.66368141352332,0.0011394624706755165,1,True,24.813688177133077,5,main_or_extended_result
all_age,All ages,wetness_context,-8.20978191050502,0.007823537067408117,-1,True,-5.7209169822089905,0.2669357970914573,-1,False,-4.139486369403644,0.2010941069212201,-1,False,-8.870194480739224,0.058593735447681206,-1,False,4.730766277521542,3,supplement_or_cautious_text
age5_69,5-69 years,household_disadvantage,-1.3138179095545932,0.9326400050491667,-1,False,21.304545809825793,0.5540552336999642,1,False,1.9153782818922105,0.5620360846496386,1,False,-4.867614306368651,0.7632851595612791,-1,False,5.742409796810157,1,do_not_emphasize
age5_69,5-69 years,ambient_pollution,-7.207871478393157,0.08066422865905097,-1,False,1.3999091807341602,0.8698148623152977,1,False,6.221343782999322,0.0531439574137433,1,False,-5.410743155707099,0.36014947046150253,-1,False,1.1317310634852995,0,do_not_emphasize
age5_69,5-69 years,thermal_context,19.981811172787612,0.0002486399566220657,1,True,21.540282064213546,0.026248706543812124,1,True,3.763975287479182,0.4721993411602885,1,False,9.045755200018956,0.1325337001590047,1,False,23.39434774280583,4,main_or_extended_result
age5_69,5-69 years,wetness_context,-10.02093269893618,0.051981630080884175,-1,False,-11.80050971885931,0.10253489220082518,-1,False,1.7587719987566919,0.5624328382403994,1,False,-4.960737664207448,0.5192844090020166,-1,False,1.058361429086141,0,do_not_emphasize
age70p,70+ years,household_disadvantage,-26.71539082495905,0.010888538072523313,-1,True,-8.503316086021561,0.7876438368036452,-1,False,-7.585001997313867,0.06367417579616748,-1,False,-9.305839847786146,0.6083990480648157,-1,False,9.789665873789966,3,supplement_or_cautious_text
age70p,70+ years,ambient_pollution,-2.0783355768804856,0.5968244664787339,-1,False,-6.180035742557111,0.4824298413980793,-1,False,4.703594674706868,0.15740414534720337,1,False,-0.6051831851624501,0.9267263963423666,-1,False,2.8541296884062444,1,do_not_emphasize
age70p,70+ years,thermal_context,45.66319029352246,1.9721656683458152e-19,1,True,61.03803868374595,7.001858618125703e-07,1,True,11.353381931924167,0.08429842414265085,1,False,30.814177034576783,0.0002760957741653908,1,True,64.69189982458097,5,main_or_extended_result
age70p,70+ years,wetness_context,-9.414378178817085,0.04112837299630592,-1,True,-16.674477869301885,0.07695572796999305,-1,False,-2.357686425272132,0.41357948160246893,-1,False,-12.344868414554144,0.07890771051478765,-1,False,8.846812961983714,3,supplement_or_cautious_text
