outcome,outcome_label,feature,feature_label,delta_rmse_mean,delta_rmse_sd,relative_delta_rmse_percent
age5_69,5-69 years,thermal_context,Thermal context,0.1472466657708232,0.06600506046766597,23.39434774280583
age5_69,5-69 years,sdi,SDI,0.11955339178009253,0.05792036577647445,18.643858695988577
age5_69,5-69 years,household_disadvantage,Household disadvantage,0.03600521915206455,0.0373131199195952,5.742409796810157
age5_69,5-69 years,wetness_context,Wetness context,0.007570016552198093,0.011385922129768553,1.058361429086141
age5_69,5-69 years,ambient_pollution,Ambient pollution,0.007023406129015313,0.00698317267774718,1.1317310634852995
age5_69,5-69 years,year,year,0.005411278596526481,0.006171976510861366,0.8719466348199655
age70p,70+ years,thermal_context,Thermal context,0.2717766386792889,0.0499293138120012,64.69189982458097
age70p,70+ years,sdi,SDI,0.20767790000775901,0.03575979340390485,49.68043256019501
age70p,70+ years,household_disadvantage,Household disadvantage,0.04130552556481466,0.015614916599782059,9.789665873789966
age70p,70+ years,wetness_context,Wetness context,0.03704371399050448,0.02106747148389639,8.846812961983714
age70p,70+ years,year,year,0.013798014147832239,0.006094612891862724,3.4057979045117905
age70p,70+ years,ambient_pollution,Ambient pollution,0.011676257085498064,0.013254994767564953,2.8541296884062444
all_age,All ages,sdi,SDI,0.30810809768397107,0.03396137688647669,89.51339249740893
all_age,All ages,thermal_context,Thermal context,0.08524412078508017,0.02095430254682462,24.813688177133077
all_age,All ages,household_disadvantage,Household disadvantage,0.05731814554519867,0.002644367328399031,16.638742674571873
all_age,All ages,year,year,0.020120806768997128,0.0025032198576305995,5.8330440042764495
all_age,All ages,wetness_context,Wetness context,0.016266031504532184,0.014180734056513383,4.730766277521542
all_age,All ages,ambient_pollution,Ambient pollution,0.010680231193283249,0.009583816737059693,3.296641184624986
u5,Under-5,sdi,SDI,0.4299470693771645,0.07126810170435817,112.30059085292935
u5,Under-5,thermal_context,Thermal context,0.180414667888324,0.07205490996500867,47.68287177485535
u5,Under-5,household_disadvantage,Household disadvantage,0.1254827015093401,0.03850838705428455,33.016976335610494
u5,Under-5,year,year,0.09688258356088172,0.015069588089086894,25.356827517812082
u5,Under-5,ambient_pollution,Ambient pollution,0.04271063913094682,0.014096335743569215,11.21482753425372
u5,Under-5,wetness_context,Wetness context,0.015980996429007965,0.015001223871307673,4.261148288975242
