analysis,variant,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n,n_countries,r2,sdi_quintile
pathway_model_variant,sdi_stratum_Low SDI,u5,Under-5,household_disadvantage,Household disadvantage,0.4200482638548909,52.203501312296055,36.833865287492394,69.29950610581517,1.0431111498529817e-14,2556,109,0.576368218248791,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,u5,Under-5,ambient_pollution,Ambient pollution,0.06127361607473222,6.3189780206927,0.8133723033562745,12.12525510356539,0.023910608797334913,2556,109,0.576368218248791,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,u5,Under-5,thermal_context,Thermal context,-0.07528058992912356,-7.251679263298549,-15.262795626182967,1.5168138133201614,0.10239812720598541,2556,109,0.576368218248791,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,u5,Under-5,wetness_context,Wetness context,-0.017787318095264126,-1.763005754766911,-7.233066259198473,4.029600302433978,0.5428564817761576,2556,109,0.576368218248791,Low SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,u5,Under-5,household_disadvantage,Household disadvantage,0.44812610623475074,56.53760868914139,19.678390120041513,104.74893512133963,0.0010704654883222846,1234,96,0.27683193512916404,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,u5,Under-5,ambient_pollution,Ambient pollution,0.0461799614483655,4.726286094083698,-5.628050368543713,16.21668347311669,0.3846227271065574,1234,96,0.27683193512916404,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,u5,Under-5,thermal_context,Thermal context,0.13438795110727797,14.383648620998478,3.806436484665987,26.038611043012992,0.006636108242154811,1234,96,0.27683193512916404,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,u5,Under-5,wetness_context,Wetness context,-0.15507822338849528,-14.365181159343754,-22.132895544350394,-5.822590307710518,0.0013911732663478532,1234,96,0.27683193512916404,Low-middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,u5,Under-5,household_disadvantage,Household disadvantage,0.42926068048893135,53.612141909142984,7.338874145084007,119.83359085749625,0.018914371560460216,642,89,0.26957771767769234,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,u5,Under-5,ambient_pollution,Ambient pollution,0.017480793787730868,1.763447705929,-7.979561515087797,12.538034587775826,0.7335270499379636,642,89,0.26957771767769234,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,u5,Under-5,thermal_context,Thermal context,0.21907174274333896,24.4920587501978,12.82968103430262,37.35989103036545,1.2700198324393524e-05,642,89,0.26957771767769234,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,u5,Under-5,wetness_context,Wetness context,-0.16371595121650218,-15.101685973790435,-22.82336583653699,-6.607436271104261,0.00076545361540892,642,89,0.26957771767769234,Middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,u5,Under-5,household_disadvantage,Household disadvantage,0.3530624267128357,42.342000009164884,-6.397256875091428,116.45994861038842,0.09877017179111038,539,85,0.27314448278970516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,u5,Under-5,ambient_pollution,Ambient pollution,0.03798569331469686,3.871637218393831,-7.752129154991616,16.96006552343574,0.5304365856667801,539,85,0.27314448278970516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,u5,Under-5,thermal_context,Thermal context,0.26496599130299314,30.338664854300433,18.025888685508185,43.93594274276828,1.6640097283753404e-07,539,85,0.27314448278970516,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,u5,Under-5,wetness_context,Wetness context,-0.08691021150319653,-8.32405936131525,-21.964870109317747,7.701212309908412,0.2903493790049022,539,85,0.27314448278970516,High-middle SDI
pathway_model_variant,sdi_stratum_High SDI,u5,Under-5,household_disadvantage,Household disadvantage,0.7173657834370931,104.90285103538457,34.87091891627434,211.2989716374121,0.0007740502648410263,1931,87,0.4175799719543819,High SDI
pathway_model_variant,sdi_stratum_High SDI,u5,Under-5,ambient_pollution,Ambient pollution,0.16546484007239043,17.99414753332611,-2.2368643867584637,42.411746153430244,0.08466720147978272,1931,87,0.4175799719543819,High SDI
pathway_model_variant,sdi_stratum_High SDI,u5,Under-5,thermal_context,Thermal context,0.3532066724160297,42.362533711963835,22.384510655076028,65.6017652594131,4.688887086157899e-06,1931,87,0.4175799719543819,High SDI
pathway_model_variant,sdi_stratum_High SDI,u5,Under-5,wetness_context,Wetness context,0.13753522030636833,14.74421185233512,-13.724686685217502,52.60720184898644,0.34450479176762705,1931,87,0.4175799719543819,High SDI
pathway_model_variant,sdi_stratum_Low SDI,all_age,All ages,household_disadvantage,Household disadvantage,0.47673799898409963,61.08113545513996,43.859046000806636,80.36496779890827,1.4145635901283137e-16,2556,109,0.48002572342222916,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,all_age,All ages,ambient_pollution,Ambient pollution,0.03674966973818289,3.7433287383493052,-2.38700344699303,10.258660606415626,0.23698855976322708,2556,109,0.48002572342222916,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,all_age,All ages,thermal_context,Thermal context,0.015838793771419724,1.5964892335554648,-8.237633711704484,12.48452979247685,0.7604228900347446,2556,109,0.48002572342222916,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,all_age,All ages,wetness_context,Wetness context,-0.05430308764889269,-5.285500495568063,-11.033730806739793,0.8341307073112647,0.08914462901533386,2556,109,0.48002572342222916,Low SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,all_age,All ages,household_disadvantage,Household disadvantage,0.1772814400829617,19.396707603832564,-4.497953589835124,49.26982533347872,0.11970352323539767,1234,96,0.15088548725948614,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,all_age,All ages,ambient_pollution,Ambient pollution,0.006758788960961999,0.6781681120434868,-7.504368777010429,9.584565242445597,0.8758168912081201,1234,96,0.15088548725948614,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,all_age,All ages,thermal_context,Thermal context,0.23561048532006457,26.56812127262931,14.859211726228573,39.470653522036,1.963985614921957e-06,1234,96,0.15088548725948614,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,all_age,All ages,wetness_context,Wetness context,-0.1477829732938099,-13.73816941617858,-23.059930641204417,-3.287019654587009,0.011316326074298281,1234,96,0.15088548725948614,Low-middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,all_age,All ages,household_disadvantage,Household disadvantage,0.16480511490416067,17.916329496575713,-8.217492071227717,51.49140152865941,0.19733074114042892,642,89,0.3913838904643099,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,all_age,All ages,ambient_pollution,Ambient pollution,-0.09625516940793627,-9.176776658322684,-16.022939727473627,-1.7724855882950474,0.016074712742507803,642,89,0.3913838904643099,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,all_age,All ages,thermal_context,Thermal context,0.3140255938119621,36.89247721022344,27.211296230056313,47.31042660599771,4.803593195826766e-17,642,89,0.3913838904643099,Middle SDI
pathway_model_variant,sdi_stratum_Middle SDI,all_age,All ages,wetness_context,Wetness context,-0.17423576443322497,-15.990119111132483,-24.36791958960731,-6.68430580428796,0.0011513220562070763,642,89,0.3913838904643099,Middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,all_age,All ages,household_disadvantage,Household disadvantage,0.07469971575661671,7.756052784980927,-14.124211501253559,35.211182508898766,0.5188860364291497,539,85,0.3724771855166874,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,all_age,All ages,ambient_pollution,Ambient pollution,-0.10341221310219559,-9.824481844278088,-17.246653306800674,-1.7366136888674055,0.01828898243257729,539,85,0.3724771855166874,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,all_age,All ages,thermal_context,Thermal context,0.2799918601373907,32.31190422863837,22.83393814070862,42.52119785131703,1.5468109522783885e-13,539,85,0.3724771855166874,High-middle SDI
pathway_model_variant,sdi_stratum_High-middle SDI,all_age,All ages,wetness_context,Wetness context,-0.12600870108878406,-11.839282419226615,-21.719322849683344,-0.712252278652592,0.03772486142357872,539,85,0.3724771855166874,High-middle SDI
pathway_model_variant,sdi_stratum_High SDI,all_age,All ages,household_disadvantage,Household disadvantage,0.19452683037017854,21.473607426636377,-7.41446512425804,59.37519096308315,0.16033026668905637,1931,87,0.30769766917989605,High SDI
pathway_model_variant,sdi_stratum_High SDI,all_age,All ages,ambient_pollution,Ambient pollution,-0.026694357598814097,-2.6341212539571557,-12.360642214775597,8.171882856807322,0.6191026485124485,1931,87,0.30769766917989605,High SDI
pathway_model_variant,sdi_stratum_High SDI,all_age,All ages,thermal_context,Thermal context,0.21218762186638104,23.637983521060278,13.362572625044722,34.84477826482233,1.6422845779640973e-06,1931,87,0.30769766917989605,High SDI
pathway_model_variant,sdi_stratum_High SDI,all_age,All ages,wetness_context,Wetness context,0.03178401304546623,3.2294519075569905,-16.733032385497026,27.977756923605845,0.7719092916984404,1931,87,0.30769766917989605,High SDI
pathway_model_variant,sdi_stratum_Low SDI,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.44282797247362193,55.71044464741573,28.591187124482055,88.549022016765,5.74470474694057e-06,2556,109,0.1985525075695217,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.09035470246605903,-8.639293088819711,-19.18928641049242,3.2880220524909243,0.14895780442232293,2556,109,0.1985525075695217,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age5_69,5-69 years,thermal_context,Thermal context,0.15582833449154077,16.86255731665267,-0.5222338487865241,37.28552450432503,0.05792729286683417,2556,109,0.1985525075695217,Low SDI
pathway_model_variant,sdi_stratum_Low SDI,age5_69,5-69 years,wetness_context,Wetness context,-0.12185200255950968,-11.472062211009249,-22.354532787527415,0.9356508568022281,0.06863693273809666,2556,109,0.1985525075695217,Low SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age5_69,5-69 years,household_disadvantage,Household disadvantage,0.1574806807121954,17.055814341358122,-11.722862470286067,55.21644736731985,0.27401280472775,1234,96,0.09404575827072392,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age5_69,5-69 years,ambient_pollution,Ambient pollution,-0.00716012928982075,-0.7134556635002731,-10.936876383370675,10.68349599680034,0.8972422243505963,1234,96,0.09404575827072392,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age5_69,5-69 years,thermal_context,Thermal context,0.25850710319957554,29.49953484306105,10.299967394720454,52.041110443445994,0.0015923358342129137,1234,96,0.09404575827072392,Low-middle SDI
pathway_model_variant,sdi_stratum_Low-middle SDI,age5_69,5-69 years,wetness_context,Wetness context,-0.13797618003440038,-12.888055846620173,-27.501687105134074,4.671274560362293,0.14083871912927337,1234,96,0.09404575827072392,Low-middle SDI
