dominant_clean_domain_archetype_label,outcome,outcome_label,n_countries,median_rate_per_100k,q25_rate_per_100k,q75_rate_per_100k
Cold-dry PM2.5 domain,u5,Under-5,5,5847.36124339947,4742.33013415951,8652.75042824236
Cold-dry PM2.5 domain,all_age,All ages,5,2329.96367886648,1764.0206700327,2669.92392027019
Cold-dry PM2.5 domain,age5_69,5-69 years,5,1080.4518971559885,1070.3283453935112,1282.492160026565
Cold-dry PM2.5 domain,age70p,70+ years,5,8700.58215035896,5847.07890037521,11198.10879250021
High-SDI low-exposure domain,u5,Under-5,39,946.79547072534,860.48931196372,2995.45711340614
High-SDI low-exposure domain,all_age,All ages,39,1127.96618012762,924.480188073785,1328.467762397985
High-SDI low-exposure domain,age5_69,5-69 years,39,561.0027537380915,385.4899615991832,835.4681310349556
High-SDI low-exposure domain,age70p,70+ years,39,4105.46061711158,3491.47076427453,4690.0925904794
Hot-dry PM2.5 domain,u5,Under-5,40,5615.4141965678045,3311.6613257529702,7134.01571233427
Hot-dry PM2.5 domain,all_age,All ages,40,2235.9512440408153,1447.4903387347974,3016.5782078604952
Hot-dry PM2.5 domain,age5_69,5-69 years,40,1458.944571475677,859.0543470646303,2086.005782667514
Hot-dry PM2.5 domain,age70p,70+ years,40,14459.882257072955,5195.218255061948,19551.968528078716
Low-SDI high-PM dry domain,u5,Under-5,20,8285.11109640272,7610.3011448761745,11524.309639661125
Low-SDI high-PM dry domain,all_age,All ages,20,4302.20071315266,3879.6557104041676,4972.6655196783895
Low-SDI high-PM dry domain,age5_69,5-69 years,20,2449.0322925686087,1664.6827748488815,3170.3494451579036
Low-SDI high-PM dry domain,age70p,70+ years,20,30322.62613877523,24311.164861483467,35810.82753080013
Low-SDI household-energy domain,u5,Under-5,47,8832.14604735234,6919.20395908492,10056.78093437778
Low-SDI household-energy domain,all_age,All ages,47,3444.69419712826,2897.5923442247104,4299.72284688693
Low-SDI household-energy domain,age5_69,5-69 years,47,1972.9792153953256,1623.7051731911438,2856.732244992246
Low-SDI household-energy domain,age70p,70+ years,47,25874.6846660367,14607.245656453106,32532.798807032636
Warm-humid climate domain,u5,Under-5,52,4084.3279009599346,3355.50939747119,6724.351381886538
Warm-humid climate domain,all_age,All ages,52,2503.156139804295,1797.9275142592924,2852.052224494005
Warm-humid climate domain,age5_69,5-69 years,52,1364.7867576538004,852.661397853616,1683.3069568920237
Warm-humid climate domain,age70p,70+ years,52,11117.299582046275,8701.66139272282,15187.055256687165
