country,location_name,dominant_D_1990,dominant_label_1990,clean_domain_archetype_weight_D1_1990,clean_domain_archetype_weight_D2_1990,clean_domain_archetype_weight_D3_1990,clean_domain_archetype_weight_D4_1990,clean_domain_archetype_weight_D5_1990,clean_domain_archetype_weight_D6_1990,dominant_D_2000,dominant_label_2000,clean_domain_archetype_weight_D1_2000,clean_domain_archetype_weight_D2_2000,clean_domain_archetype_weight_D3_2000,clean_domain_archetype_weight_D4_2000,clean_domain_archetype_weight_D5_2000,clean_domain_archetype_weight_D6_2000,dominant_D_2010,dominant_label_2010,clean_domain_archetype_weight_D1_2010,clean_domain_archetype_weight_D2_2010,clean_domain_archetype_weight_D3_2010,clean_domain_archetype_weight_D4_2010,clean_domain_archetype_weight_D5_2010,clean_domain_archetype_weight_D6_2010,dominant_D_2023,dominant_label_2023,clean_domain_archetype_weight_D1_2023,clean_domain_archetype_weight_D2_2023,clean_domain_archetype_weight_D3_2023,clean_domain_archetype_weight_D4_2023,clean_domain_archetype_weight_D5_2023,clean_domain_archetype_weight_D6_2023,clean_domain_archetype_weight_D1_delta_2023_1990,clean_domain_archetype_weight_D2_delta_2023_1990,clean_domain_archetype_weight_D3_delta_2023_1990,clean_domain_archetype_weight_D4_delta_2023_1990,clean_domain_archetype_weight_D5_delta_2023_1990,clean_domain_archetype_weight_D6_delta_2023_1990,trajectory_raw,lri_incidence_rate_u5_1990,lri_incidence_rate_age70p_1990,lri_incidence_rate_all_age_1990,lri_incidence_rate_5_69_1990,lri_incidence_rate_u5_2023,lri_incidence_rate_age70p_2023,lri_incidence_rate_all_age_2023,lri_incidence_rate_5_69_2023,u5_percent_decline,age70p_percent_decline,all_age_percent_decline,5_69_percent_decline,clean_domain_trajectory_cluster
CHN,China,D1,Low-SDI household-energy domain,0.411095223021911,0.07951887202023229,0.37398138901442385,0.13540451594343297,0.0,0.0,D3,Cold-dry PM2.5 domain,0.36464039880072613,0.0,0.3842509269426988,0.25110867425657496,0.0,0.0,D3,Cold-dry PM2.5 domain,0.18646115292024365,0.0,0.4042629890235485,0.30815031755883143,0.10112554049737653,0.0,D4,Hot-dry PM2.5 domain,0.0,0.0004157489924489053,0.22103847513371344,0.3475501912425854,0.3001575021116491,0.13083808251960305,-0.411095223021911,-0.07910312302778338,-0.1529429138807104,0.21214567529915243,0.3001575021116491,0.13083808251960305,5,24810.71445219134,13300.84333561788,4503.01109933347,1884.898787125512,4658.01627322439,8217.76730132449,2176.6905205758203,1370.9981460049416,81.22578742260693,38.216193560310515,51.66144447438712,27.264097395079425,4
PRK,Democratic People's Republic of Korea,D3,Cold-dry PM2.5 domain,0.4135146348653305,0.0,0.48455761229990607,0.025984794016312863,0.0,0.07594295881845062,D3,Cold-dry PM2.5 domain,0.3277222882068927,0.020210641713966766,0.575866019864649,0.0,0.0,0.07620105021449147,D3,Cold-dry PM2.5 domain,0.36359039506082397,0.0,0.5154643190894189,0.0,0.0,0.12094528584975704,D3,Cold-dry PM2.5 domain,0.3460352418636505,0.0,0.4486375642905313,0.06802140286237465,0.0,0.1373057909834436,-0.06747939300168004,0.0,-0.03592004800937476,0.04203660884606179,0.0,0.06136283216499297,5,21330.0583258134,13695.328177317178,4716.82020064928,1509.6056548135928,8652.75042824236,11198.10879250021,2669.92392027019,1282.492160026565,59.43400483921369,18.23409671155581,43.39568169457319,15.044557766648795,4
TWN,Taiwan,D5,Warm-humid climate domain,0.12954519289057084,0.0,0.1920371444616054,0.093770898932234,0.5846467637155897,0.0,D5,Warm-humid climate domain,0.0,0.0,0.13929290529440266,0.1386926474403089,0.7034283527596955,0.018586094505593048,D5,Warm-humid climate domain,0.0,0.0,0.040071847690439005,0.28975139633016717,0.5677788721050423,0.10239788387435161,D5,Warm-humid climate domain,0.014019157535086335,0.0,0.0,0.28466152029638053,0.5097216974728245,0.19159762469570873,-0.1155260353554845,0.0,-0.1920371444616054,0.19089062136414653,-0.07492506624276518,0.19159762469570873,3,14157.4710862496,18538.33111033591,3799.75847208111,1884.935657314215,6802.53554316589,17131.054379373538,4218.1152639796,1769.1354652943678,51.95091339601723,7.59117270366238,-11.010089061512321,6.143455962037833,2
KHM,Cambodia,D1,Low-SDI household-energy domain,0.5622494309391917,0.31484323469776476,0.0,0.02203202098674651,0.10087531337629693,0.0,D1,Low-SDI household-energy domain,0.6976974549138758,0.13646565456800494,0.0,0.11430365728233591,0.0515332332357835,0.0,D1,Low-SDI household-energy domain,0.5563705554517908,0.1809080837476807,0.0,0.07037854367976211,0.19234281712076626,0.0,D1,Low-SDI household-energy domain,0.5008008087703332,0.11597581515456622,0.0,0.10703373738928701,0.27618963868581364,0.0,-0.06144862216885849,-0.19886741954319853,0.0,0.0850017164025405,0.1753143253095167,0.0,0,38928.63131708826,21328.26798105185,9153.66504879879,1332.8064698075584,9435.17726607069,17476.43404331666,3052.7933235638698,1218.488083213451,75.76288467678803,18.059759663359344,66.64949714361157,8.577268281914446,1
IDN,Indonesia,D1,Low-SDI household-energy domain,0.6883298554434538,0.0,0.0,0.20792800719552137,0.10374213736102479,0.0,D1,Low-SDI household-energy domain,0.579659277174809,0.0,0.0,0.1566660505444047,0.2636746722807864,0.0,D1,Low-SDI household-energy domain,0.4989697683108825,0.0,0.0,0.002995560995971085,0.4980346706931462,0.0,D5,Warm-humid climate domain,0.279810379427911,0.0,0.0,0.18937039417192322,0.5024014921387088,0.02841773426145698,-0.40851947601554284,0.0,0.0,-0.018557613023598152,0.398659354777684,0.02841773426145698,3,20190.84330062725,10647.7738365111,3652.95490797474,1072.9298088971004,7325.72747367358,10732.22321308881,1948.66338373146,1160.5679689445426,63.7175755138172,-0.7931176776889617,46.65514815205228,-8.168116806963196,2
LAO,Lao People's Democratic Republic,D1,Low-SDI household-energy domain,0.6998307670984946,0.1542698241346345,0.04705767315786738,0.09884173560900343,0.0,0.0,D1,Low-SDI household-energy domain,0.6882368398802319,0.09252854466572048,0.06345253606619275,0.1557820793878549,0.0,0.0,D1,Low-SDI household-energy domain,0.6956208418754893,0.0,0.023105140621055995,0.28127401750345465,0.0,0.0,D1,Low-SDI household-energy domain,0.5364051446779285,0.0,0.0,0.28836171122203463,0.1339970068529609,0.041236137247075935,-0.16342562242056602,-0.1542698241346345,-0.04705767315786738,0.1895199756130312,0.1339970068529609,0.041236137247075935,0,28849.72534504824,20758.308389942253,7175.83877398701,1653.5060649905945,10007.03351532393,17381.72536939375,3020.75925211524,1655.5990506310025,65.31324511537669,16.266176208194857,57.90374690320894,-0.12657864913364353,1
MYS,Malaysia,D1,Low-SDI household-energy domain,0.4542360495075963,0.0,0.0,0.20767729210107685,0.3380866583913269,0.0,D5,Warm-humid climate domain,0.2693053503357529,0.0,0.0,0.09537597968293852,0.6353186699813085,0.0,D5,Warm-humid climate domain,0.13493310735783082,0.0,0.0,0.0,0.8519682784458997,0.013098614196269344,D5,Warm-humid climate domain,0.0,0.0,0.0,0.0,1.0,3.757605179808205e-18,-0.4542360495075963,0.0,0.0,-0.20767729210107685,0.6619133416086731,3.757605179808205e-18,3,15054.77610321365,15442.25380589759,3774.75857357914,1456.4072285643742,6771.88446814123,16877.95024033994,2825.50886519247,1870.098639789673,55.01836479191691,-9.297194907481952,25.147295910016652,-28.404927077510262,2
MDV,Maldives,D1,Low-SDI household-energy domain,0.5598466815404863,0.15305638855850281,0.06537246129964254,0.03405431950539605,0.18767014909597224,0.0,D1,Low-SDI household-energy domain,0.4100511890264296,0.0955635735416448,0.05307969620586843,0.05263137551227119,0.3482252665683575,0.040448899145428596,D5,Warm-humid climate domain,0.21566002603506276,0.1035962237899895,0.0,0.0,0.5344647802072684,0.14627896996767945,D5,Warm-humid climate domain,0.07642094654875829,0.07564081995163878,0.0,0.0,0.6968895840563316,0.15104864944327126,-0.48342573499172803,-0.07741556860686404,-0.06537246129964254,-0.03405431950539605,0.5092194349603594,0.15104864944327126,3,22157.4635415613,12854.1578162371,5467.96940177629,1137.5801545322802,5925.94795509928,9046.575512513233,1267.77709011285,803.5218618023985,73.25529637458803,29.621406226351215,76.81448089850306,29.365692729338345,2
MMR,Myanmar,D1,Low-SDI household-energy domain,0.6130209233022295,0.2171301813905137,0.0,0.16984889530725675,0.0,0.0,D1,Low-SDI household-energy domain,0.6285055113094661,0.1516238846686045,0.0,0.21987060402192932,0.0,0.0,D1,Low-SDI household-energy domain,0.608978147380692,0.059039594543417714,0.0,0.3319822580758903,0.0,0.0,D1,Low-SDI household-energy domain,0.5645338002110816,0.0,0.0,0.3865252858531239,0.048940913935794354,0.0,-0.04848712309114789,-0.2171301813905137,0.0,0.21667639054586715,0.048940913935794354,0.0,0,26436.06019218338,11896.80236688783,4799.601742701791,848.4236110657482,9439.52127720046,9536.10481339498,2192.1903700018,976.4002828753506,64.29301034807169,19.843126587219263,54.32557767245554,-15.084053548302878,1
PHL,Philippines,D1,Low-SDI household-energy domain,0.6291501243422294,0.0,0.0,0.29524576916027184,0.07560410649749873,0.0,D1,Low-SDI household-energy domain,0.5960901055586224,0.0,0.0,0.1856221731034184,0.21828772133795915,0.0,D1,Low-SDI household-energy domain,0.5455076035333103,0.0,0.0,0.17370620451201974,0.2807861919546701,0.0,D5,Warm-humid climate domain,0.3879357030527171,0.0,0.0,0.1417862037976998,0.4702780931495832,0.0,-0.24121442128951232,0.0,0.0,-0.15345956536257205,0.3946739866520845,0.0,0,26075.98098144887,14581.65755669995,6206.34834261438,1927.1071686153675,8290.45753867116,20275.52312007219,3021.64536711433,1816.720187507201,68.20653633483931,-39.048136614318125,51.313635646795106,5.728118441253058,1
